original_ingredient|ingredient|Official AAFCO Category|ingredient_parent_category|ingredient_sub_category|new_ingredient_parent_category|new_ingredient_sub_category
sodium erytrobate (preservative)|sodium erythorbate|special purpose products|additives|artificial preservatives|preservatives|artificial preservatives
sodium hexametaphosphate|sodium hexametaphosphate|mineral products/technical additives|vitamins and minerals|minerals|vitamins and minerals|minerals
sodium nitrite|sodium nitrite|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
sodium nitrite (for color retention)|sodium nitrite|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
sodium nitrite (to promote color retention)|sodium nitrite|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
sodium nitrite (to promote color retention) (to promote color retention)|sodium nitrite|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
sodium phosphate|sodium phosphate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
sodium phosphate monobasic|monosodium phosphate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
sodium propionate (a preservative)|sodium propionate (preservative)|preservatives|preservatives|artificial preservatives|preservatives|artificial preservatives
sodium pyrophosphate|sodium pyrophosphate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
sodium selemite|sodium selenite|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
sodium selenate|sodium selenite|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
sodium selenite|sodium selenite|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
sodium selenite|sodium selenite|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
sodium selenite|sodium selenite|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
sodium selenite.|sodium selenite|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
sodium selenite. inactive ingredients: disodium edta|sodium selenite|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
sodium selenium|sodium selenite|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
sodium silico aluminate|sodium silico aluminate|technical additives|additives|artificial additives|additives|artificial additives
sodium triopolyphosphate|sodium tripolyphosphate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
sodium triphosphate|sodium tripolyphosphate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
sodium triployphosphate|sodium tripolyphosphate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
sodium tripolyphosp hate|sodium tripolyphosphate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
sodium tripolyphosphate|sodium tripolyphosphate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
sodium tripolyphsphate|sodium tripolyphosphate|mineral products|vitamins and minerals|minerals|vitamins and minerals|minerals
